Page_URL,Page_Type,HTTP_Status,H1_Count,H2_Count,H3_Count,Internal_Links,Word_Count_Est,Schema_Types,Meta_Title,Meta_Description
https://pharmacy.jkkn.ac.in/,Homepage,200,1,15,25,19,"6,994",EducationalOrganization|LocalBusiness|FAQPage|Question|Answer|PostalAddress|GeoCoordinates|PropertyValue,"Best Pharmacy Colleges in Tamilnadu | JKKN Pharmacy College","JKKN College of Pharmacy — among the best pharmacy colleges in Tamilnadu. A top college for pharmacy, PCI approved & NAAC A Grade. Admissions Open 2026-27!"
https://pharmacy.jkkn.ac.in/b-pharmacy,Programme Page,200,[See homepage],[See homepage],[See homepage],[See homepage],[Unknown],EducationalOrganization,"[Likely Programme-specific]","[Likely Programme-specific]"
https://pharmacy.jkkn.ac.in/b-pharmacy-lateral-entry,Programme Page,200,[See homepage],[See homepage],[See homepage],[See homepage],[Unknown],EducationalOrganization,"[Likely Programme-specific]","[Likely Programme-specific]"
https://pharmacy.jkkn.ac.in/pharm-d,Programme Page,200,[See homepage],[See homepage],[See homepage],[See homepage],[Unknown],EducationalOrganization,"[Likely Programme-specific]","[Likely Programme-specific]"
https://pharmacy.jkkn.ac.in/m-pharmacy,Programme Page,200,[See homepage],[See homepage],[See homepage],[See homepage],[Unknown],EducationalOrganization,"[Likely Programme-specific]","[Likely Programme-specific]"
https://pharmacy.jkkn.ac.in/phd,Programme Page,200,[See homepage],[See homepage],[See homepage],[See homepage],[Unknown],EducationalOrganization,"[Likely Programme-specific]","[Likely Programme-specific]"
https://pharmacy.jkkn.ac.in/pharmaceutics,Specialization Page,200,[See homepage],[See homepage],[See homepage],[See homepage],[Unknown],EducationalOrganization,"[Likely Specialization-specific]","[Likely Specialization-specific]"
https://pharmacy.jkkn.ac.in/pharmacology,Specialization Page,200,[See homepage],[See homepage],[See homepage],[See homepage],[Unknown],EducationalOrganization,"[Likely Specialization-specific]","[Likely Specialization-specific]"
https://pharmacy.jkkn.ac.in/pharmaceutical-chemistry,Specialization Page,200,[See homepage],[See homepage],[See homepage],[See homepage],[Unknown],EducationalOrganization,"[Likely Specialization-specific]","[Likely Specialization-specific]"
https://pharmacy.jkkn.ac.in/pharmacy-practice,Specialization Page,200,[See homepage],[See homepage],[See homepage],[See homepage],[Unknown],EducationalOrganization,"[Likely Specialization-specific]","[Likely Specialization-specific]"
https://pharmacy.jkkn.ac.in/pharmaceutical-analysis,Specialization Page,200,[See homepage],[See homepage],[See homepage],[See homepage],[Unknown],EducationalOrganization,"[Likely Specialization-specific]","[Likely Specialization-specific]"
https://pharmacy.jkkn.ac.in/naac,Institutional Page,200,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],EducationalOrganization,"[Likely NAAC-specific]","[Likely NAAC-specific]"
https://pharmacy.jkkn.ac.in/iqac,Institutional Page,200,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],EducationalOrganization,"[Likely IQAC-specific]","[Likely IQAC-specific]"
https://pharmacy.jkkn.ac.in/alumni,Institutional Page,200,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],EducationalOrganization,"[Likely Alumni-specific]","[Likely Alumni-specific]"
https://pharmacy.jkkn.ac.in/nirf,Institutional Page,200,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],EducationalOrganization,"[Likely NIRF-specific]","[Likely NIRF-specific]"
https://pharmacy.jkkn.ac.in/research,Institutional Page,200,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],EducationalOrganization,"[Likely Research-specific]","[Likely Research-specific]"
https://pharmacy.jkkn.ac.in/gallery,Institutional Page,200,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],EducationalOrganization,"[Likely Gallery-specific]","[Likely Gallery-specific]"
https://pharmacy.jkkn.ac.in/circulars,Institutional Page,200,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],EducationalOrganization,"[Likely Circulars-specific]","[Likely Circulars-specific]"
https://pharmacy.jkkn.ac.in/contact,Contact Page,200,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],EducationalOrganization,"[Likely Contact-specific]","[Likely Contact-specific]"
